iter	Passed	Remaining
0	50	251597
1	53	133048
2	56	93395
3	59	73953
4	61	61912
5	64	53889
6	67	47996
7	69	43526
8	72	40141
9	74	37394
10	77	35119
11	79	33213
12	82	31757
13	86	30859
14	88	29373
15	90	28248
16	93	27401
17	95	26509
18	98	25692
19	99	24813
20	102	24193
21	103	23431
22	105	22886
23	107	22252
24	109	21821
25	111	21276
26	113	20884
27	115	20564
28	119	20468
29	120	19942
30	122	19651
31	125	19410
32	127	19154
33	129	18958
34	131	18711
35	134	18484
36	136	18297
37	138	18094
38	140	17821
39	141	17572
40	143	17326
41	144	17082
42	146	16866
43	147	16643
44	148	16349
45	149	16116
46	150	15885
47	151	15665
48	153	15464
49	153	15225
50	154	15025
51	155	14815
52	156	14621
53	157	14423
54	157	14185
55	158	14014
56	159	13846
57	160	13683
58	161	13522
59	162	13380
60	163	13228
61	164	13074
62	164	12922
63	165	12778
64	166	12638
65	167	12501
66	167	12350
67	168	12220
68	169	12095
69	170	11975
70	170	11857
71	171	11736
72	172	11613
73	172	11498
74	173	11388
75	174	11277
76	174	11142
77	174	11035
78	175	10915
79	175	10815
80	176	10721
81	177	10630
82	178	10546
83	178	10454
84	179	10370
85	179	10278
86	180	10186
87	180	10100
88	181	10015
89	182	9932
90	182	9848
91	183	9767
92	183	9689
93	184	9611
94	184	9536
95	185	9455
96	185	9382
97	186	9312
98	186	9242
99	187	9176
100	187	9092
101	188	9048
102	189	8989
103	189	8934
104	190	8881
105	191	8821
106	191	8765
107	192	8709
108	193	8668
109	193	8606
110	194	8553
111	194	8482
112	194	8429
113	195	8379
114	195	8320
115	196	8262
116	196	8212
117	197	8151
118	197	8103
119	198	8058
120	198	8012
121	199	7960
122	199	7917
123	200	7876
124	200	7826
125	201	7784
126	201	7740
127	202	7698
128	203	7669
129	203	7630
130	204	7613
131	205	7574
132	205	7530
133	206	7486
134	206	7442
135	207	7405
136	207	7368
137	208	7329
138	208	7300
139	209	7262
140	209	7225
141	210	7190
142	210	7145
143	210	7101
144	211	7067
145	211	7023
146	211	6989
147	212	6956
148	212	6924
149	213	6892
150	213	6859
151	214	6830
152	214	6799
153	215	6769
154	215	6738
155	216	6709
156	216	6680
157	217	6651
158	217	6621
159	217	6592
160	218	6559
161	218	6531
162	219	6503
163	219	6475
164	220	6448
165	220	6421
166	220	6395
167	221	6360
168	221	6335
169	222	6310
170	222	6286
171	223	6261
172	223	6236
173	224	6215
174	224	6192
175	225	6169
176	225	6146
177	225	6118
178	226	6095
179	226	6072
180	227	6050
181	227	6027
182	228	6005
183	228	5983
184	228	5958
185	229	5937
186	229	5915
187	230	5894
188	230	5869
189	231	5849
190	231	5822
191	231	5797
192	231	5776
193	232	5757
194	232	5737
195	233	5719
196	233	5700
197	234	5681
198	234	5662
199	235	5646
200	235	5628
201	235	5605
202	236	5588
203	236	5565
204	237	5548
205	237	5531
206	238	5513
207	238	5497
208	239	5481
209	239	5465
210	239	5443
211	240	5427
212	240	5406
213	241	5390
214	241	5373
215	241	5357
216	242	5343
217	242	5327
218	243	5312
219	243	5299
220	244	5284
221	244	5269
222	245	5253
223	245	5239
224	245	5218
225	246	5204
226	246	5190
227	247	5176
228	247	5161
229	248	5148
230	248	5134
231	249	5120
232	249	5100
233	249	5088
234	250	5075
235	250	5062
236	251	5049
237	251	5036
238	252	5023
239	252	5011
240	253	4998
241	253	4986
242	254	4973
243	254	4963
244	255	4951
245	255	4938
246	256	4926
247	256	4911
248	256	4896
249	256	4882
250	257	4871
251	257	4859
252	258	4848
253	258	4836
254	259	4825
255	259	4814
256	260	4804
257	260	4796
258	261	4786
259	261	4775
260	262	4764
261	262	4753
262	263	4742
263	263	4732
264	264	4719
265	264	4708
266	264	4697
267	265	4687
268	265	4676
269	266	4665
270	266	4655
271	267	4646
272	267	4635
273	268	4626
274	268	4615
275	269	4606
276	269	4597
277	270	4586
278	270	4577
279	271	4568
280	271	4554
281	271	4545
282	272	4536
283	272	4526
284	273	4517
285	273	4503
286	273	4494
287	273	4480
288	274	4472
289	274	4463
290	275	4454
291	275	4445
292	276	4436
293	276	4424
294	276	4415
295	277	4406
296	277	4398
297	278	4390
298	278	4382
299	279	4373
300	279	4360
301	279	4352
302	280	4344
303	280	4336
304	281	4328
305	281	4321
306	282	4313
307	282	4305
308	283	4297
309	283	4289
310	284	4282
311	284	4275
312	285	4268
313	285	4257
314	285	4249
315	286	4241
316	286	4234
317	287	4227
318	287	4219
319	288	4212
320	288	4205
321	288	4198
322	289	4191
323	289	4184
324	290	4177
325	290	4171
326	291	4162
327	291	4155
328	292	4146
329	292	4139
330	292	4132
331	293	4126
332	293	4118
333	294	4112
334	294	4105
335	294	4093
336	295	4087
337	295	4081
338	296	4074
339	296	4067
340	297	4061
341	297	4055
342	298	4048
343	298	4039
344	298	4032
345	299	4026
346	299	4020
347	300	4014
348	300	4009
349	301	4003
350	301	3997
351	302	3991
352	302	3986
353	303	3980
354	303	3974
355	303	3965
356	304	3959
357	304	3953
358	305	3947
359	305	3941
360	306	3936
361	306	3930
362	307	3924
363	307	3919
364	308	3913
365	308	3907
366	309	3902
367	309	3897
368	310	3891
369	310	3886
370	311	3881
371	311	3875
372	311	3866
373	312	3860
374	312	3855
375	313	3850
376	313	3845
377	314	3839
378	314	3834
379	314	3829
380	315	3824
381	315	3818
382	316	3814
383	316	3807
384	317	3803
385	317	3798
386	318	3792
387	318	3788
388	319	3782
389	319	3777
390	320	3772
391	320	3768
392	321	3763
393	321	3758
394	321	3752
395	322	3748
396	322	3743
397	323	3738
398	323	3732
399	324	3727
400	324	3722
401	325	3718
402	325	3713
403	325	3705
404	326	3701
405	326	3696
406	327	3691
407	327	3687
408	328	3682
409	328	3678
410	329	3673
411	329	3669
412	329	3663
413	330	3658
414	330	3653
415	331	3649
416	331	3644
417	332	3641
418	332	3636
419	333	3632
420	333	3628
421	334	3623
422	334	3615
423	334	3609
424	334	3605
425	335	3601
426	335	3595
427	336	3591
428	336	3587
429	337	3581
430	337	3577
431	337	3573
432	338	3568
433	338	3563
434	339	3559
435	339	3555
436	340	3552
437	340	3551
438	341	3547
439	341	3543
440	342	3540
441	342	3535
442	343	3532
443	343	3528
444	344	3524
445	344	3520
446	345	3516
447	345	3512
448	346	3508
449	346	3504
450	347	3500
451	347	3496
452	347	3492
453	348	3488
454	348	3485
455	349	3481
456	349	3474
457	349	3467
458	350	3464
459	350	3460
460	350	3454
461	353	3467
462	353	3463
463	354	3460
464	354	3456
465	354	3453
466	355	3449
467	355	3446
468	356	3441
469	356	3437
470	356	3432
471	357	3428
472	357	3425
473	358	3421
474	358	3418
475	359	3414
476	359	3411
477	360	3408
478	360	3404
479	360	3398
480	361	3394
481	361	3390
482	362	3387
483	362	3384
484	363	3381
485	363	3378
486	364	3374
487	364	3371
488	365	3368
489	365	3365
490	366	3362
491	366	3358
492	367	3355
493	367	3352
494	368	3349
495	368	3346
496	368	3340
497	369	3337
498	369	3334
499	370	3331
500	370	3327
501	371	3324
502	371	3321
503	371	3316
504	372	3313
505	372	3310
506	373	3306
507	373	3303
508	374	3300
509	374	3297
510	375	3294
511	375	3292
512	376	3289
513	376	3286
514	377	3283
515	377	3280
516	377	3276
517	378	3273
518	378	3270
519	379	3268
520	379	3265
521	380	3262
522	380	3259
523	381	3256
524	381	3253
525	382	3250
526	382	3247
527	383	3244
528	383	3241
529	383	3238
530	384	3233
531	384	3230
532	385	3227
533	385	3224
534	386	3222
535	386	3219
536	386	3216
537	387	3212
538	387	3209
539	388	3207
540	388	3202
541	389	3199
542	389	3197
543	389	3194
544	390	3191
545	390	3189
546	391	3186
547	391	3183
548	392	3181
549	392	3178
550	393	3176
551	393	3173
552	394	3171
553	394	3168
554	395	3165
555	395	3162
556	396	3159
557	396	3157
558	397	3154
559	397	3152
560	398	3149
561	398	3147
562	399	3144
563	399	3142
564	399	3139
565	400	3136
566	400	3132
567	401	3129
568	401	3127
569	402	3124
570	402	3122
571	402	3118
572	403	3115
573	403	3113
574	404	3110
575	404	3108
576	405	3106
577	405	3103
578	406	3101
579	406	3098
580	407	3095
581	407	3093
582	407	3090
583	408	3086
584	408	3084
585	409	3082
586	409	3079
587	410	3077
588	410	3075
589	411	3072
590	411	3068
591	411	3066
592	412	3064
593	412	3059
594	412	3057
595	413	3054
596	413	3052
597	414	3050
598	414	3048
599	415	3046
600	415	3043
601	416	3041
602	416	3040
603	417	3037
604	417	3035
605	418	3033
606	418	3031
607	419	3029
608	419	3027
609	420	3023
610	420	3021
611	420	3018
612	421	3019
613	422	3018
614	423	3019
615	424	3017
616	424	3016
617	425	3015
618	425	3013
619	426	3012
620	426	3010
621	427	3008
622	428	3006
623	428	3005
624	428	3002
625	429	3001
626	430	2999
627	430	2997
628	431	2996
629	431	2995
630	432	2994
631	433	2995
632	434	2995
633	434	2994
634	435	2994
635	436	2996
636	437	2998
637	438	2996
638	438	2993
639	439	2991
640	439	2989
641	440	2988
642	440	2987
643	441	2985
644	441	2982
645	442	2980
646	442	2978
647	443	2976
648	443	2974
649	444	2972
650	444	2970
651	445	2967
652	445	2965
653	445	2963
654	446	2961
655	446	2959
656	447	2957
657	447	2955
658	448	2952
659	448	2950
660	449	2948
661	449	2946
662	450	2945
663	450	2941
664	450	2939
665	451	2937
666	451	2935
667	452	2933
668	452	2930
669	452	2926
670	453	2924
671	453	2922
672	454	2921
673	454	2919
674	455	2917
675	455	2916
676	456	2914
677	456	2911
678	457	2909
679	457	2908
680	458	2906
681	458	2904
682	459	2902
683	459	2900
684	460	2898
685	460	2897
686	460	2893
687	461	2890
688	461	2888
689	462	2886
690	462	2883
691	462	2881
692	463	2879
693	463	2876
694	464	2874
695	464	2872
696	464	2870
697	465	2867
698	465	2865
699	465	2862
700	466	2860
701	467	2859
702	467	2857
703	468	2856
704	468	2854
705	469	2852
706	469	2851
707	470	2849
708	470	2847
709	471	2846
710	471	2844
711	471	2841
712	472	2839
713	472	2838
714	473	2836
715	473	2834
716	474	2832
717	474	2831
718	475	2829
719	475	2827
720	476	2825
721	476	2824
722	477	2822
723	477	2819
724	477	2817
725	478	2816
726	478	2814
727	479	2812
728	479	2810
729	480	2809
730	480	2807
731	481	2805
732	481	2803
733	482	2802
734	482	2800
735	483	2798
736	483	2796
737	484	2795
738	484	2793
739	484	2791
740	485	2789
741	485	2787
742	486	2786
743	486	2784
744	487	2782
745	487	2781
746	488	2779
747	488	2778
748	489	2776
749	489	2774
750	489	2772
751	490	2770
752	490	2768
753	491	2767
754	491	2765
755	492	2763
756	492	2762
757	493	2760
758	493	2759
759	494	2757
760	494	2755
761	495	2753
762	495	2752
763	496	2750
764	496	2748
765	497	2747
766	497	2745
767	497	2744
768	498	2742
769	498	2740
770	499	2738
771	499	2736
772	500	2734
773	500	2733
774	501	2731
775	501	2729
776	502	2729
777	502	2727
778	503	2725
779	503	2724
780	504	2722
781	504	2721
782	504	2719
783	505	2716
784	505	2714
785	505	2711
786	506	2709
787	506	2708
788	507	2706
789	507	2705
790	508	2703
791	508	2701
792	508	2699
793	509	2698
794	509	2696
795	510	2695
796	510	2693
797	511	2692
798	511	2690
799	512	2689
800	512	2687
801	513	2685
802	513	2684
803	513	2682
804	514	2680
805	514	2679
806	515	2676
807	515	2674
808	516	2673
809	516	2671
810	516	2670
811	517	2669
812	518	2667
813	518	2665
814	518	2664
815	519	2662
816	519	2661
817	520	2659
818	520	2658
819	521	2656
820	521	2655
821	522	2653
822	522	2652
823	522	2650
824	523	2649
825	523	2647
826	524	2646
827	524	2644
828	525	2643
829	525	2641
830	526	2640
831	526	2638
832	527	2637
833	527	2636
834	528	2634
835	528	2633
836	529	2631
837	529	2630
838	530	2630
839	530	2629
840	531	2627
841	531	2625
842	532	2624
843	532	2623
844	533	2622
845	533	2619
846	534	2618
847	534	2617
848	534	2615
849	535	2614
850	535	2612
851	536	2611
852	536	2610
853	537	2608
854	537	2607
855	538	2604
856	538	2603
857	538	2601
858	539	2599
859	539	2598
860	540	2596
861	540	2594
862	540	2593
863	541	2592
864	541	2590
865	542	2589
866	542	2588
867	543	2586
868	543	2585
869	544	2584
870	544	2582
871	545	2581
872	545	2579
873	545	2577
874	546	2576
875	546	2574
876	547	2573
877	547	2572
878	548	2571
879	548	2569
880	549	2568
881	549	2566
882	550	2565
883	550	2563
884	550	2561
885	551	2560
886	551	2558
887	552	2557
888	552	2556
889	553	2554
890	553	2553
891	554	2552
892	554	2550
893	555	2549
894	555	2548
895	556	2547
896	556	2545
897	556	2543
898	557	2542
899	557	2539
900	557	2536
901	558	2535
902	558	2534
903	559	2532
904	559	2531
905	559	2530
906	560	2528
907	560	2527
908	561	2526
909	561	2524
910	562	2523
911	562	2522
912	563	2520
913	563	2520
914	564	2518
915	564	2517
916	565	2516
917	565	2514
918	566	2513
919	566	2512
920	567	2511
921	567	2509
922	567	2508
923	568	2507
924	568	2505
925	569	2504
926	569	2503
927	570	2502
928	570	2501
929	571	2499
930	571	2498
931	572	2497
932	572	2495
933	573	2494
934	573	2492
935	573	2491
936	574	2490
937	574	2488
938	575	2487
939	575	2486
940	576	2485
941	576	2483
942	577	2482
943	577	2481
944	577	2480
945	578	2478
946	578	2477
947	579	2476
948	579	2475
949	580	2474
950	580	2472
951	581	2470
952	581	2469
953	582	2468
954	582	2467
955	582	2465
956	583	2464
957	583	2463
958	584	2462
959	584	2459
960	584	2458
961	585	2457
962	585	2455
963	586	2455
964	586	2454
965	587	2453
966	587	2451
967	588	2450
968	588	2449
969	589	2448
970	589	2447
971	590	2446
972	590	2444
973	591	2443
974	591	2442
975	592	2441
976	592	2439
977	593	2438
978	593	2437
979	593	2436
980	594	2435
981	594	2434
982	595	2433
983	595	2432
984	596	2430
985	596	2428
986	597	2427
987	597	2426
988	598	2425
989	598	2424
990	599	2423
991	599	2422
992	600	2421
993	600	2420
994	600	2418
995	601	2418
996	601	2417
997	602	2415
998	602	2414
999	603	2413
1000	603	2412
1001	604	2411
1002	604	2410
1003	605	2408
1004	605	2407
1005	606	2406
1006	606	2405
1007	607	2404
1008	607	2403
1009	608	2402
1010	608	2401
1011	609	2400
1012	609	2398
1013	609	2397
1014	610	2397
1015	611	2396
1016	611	2395
1017	612	2394
1018	612	2393
1019	613	2391
1020	613	2390
1021	613	2389
1022	614	2388
1023	614	2387
1024	615	2386
1025	615	2385
1026	616	2384
1027	616	2383
1028	617	2382
1029	617	2380
1030	618	2379
1031	618	2378
1032	618	2376
1033	619	2375
1034	619	2373
1035	620	2372
1036	620	2371
1037	621	2370
1038	621	2369
1039	622	2368
1040	622	2367
1041	623	2366
1042	623	2365
1043	624	2365
1044	625	2366
1045	625	2365
1046	626	2364
1047	626	2363
1048	627	2362
1049	627	2361
1050	628	2360
1051	628	2359
1052	629	2358
1053	629	2357
1054	629	2355
1055	630	2354
1056	630	2353
1057	631	2352
1058	631	2350
1059	632	2349
1060	632	2348
1061	633	2347
1062	633	2346
1063	633	2344
1064	634	2343
1065	634	2342
1066	635	2341
1067	635	2340
1068	636	2339
1069	636	2338
1070	637	2337
